"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"768",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",NA,"United States of America","New York","d4c2f325-4380-4d1c-b631-ee88c1a5b12c","PBRU00006587"
"769",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",NA,"United States of America","Wisconsin","fe26c889-5f6c-479d-a7f4-f0ce3d52cba1","PBRU00006588"
"960",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1903,"United States of America","Vermont","b04dab69-d269-49a9-bdb5-c73c68aabf81","PBRU00018157"
"962",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1879,"United States of America","West Virginia","f5c2ade1-6b71-4ec1-9959-201f799f712f","PBRU00039740"
"963",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1878,"United States of America","New York","a79027ae-b229-441d-93b1-66cf40bcda66","PBRU00039739"
"965",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1877,"United States of America","Pennsylvania","fc29cd8c-6908-4637-a644-f11fd9ecb3d1","PBRU00039741"
"969",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1865,"United States of America","Pennsylvania","0fe068a2-a005-45bd-bb9a-9c959f3475cd","PBRU00018159"
"970",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",NA,"United States of America","New York","0c341edb-8515-460c-8006-93a4fa912178","PBRU00039738"
"972",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",NA,"United States of America","Michigan","dcd677ac-a9f9-46a9-9738-e5b5b298a493","PBRU00040033"
"1152",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1936,"Canada","Quebec Province","04222a2f-842e-4b41-a878-94ab7d024c9f","PBRU00073169"
"1163",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1905,"Canada","British Columbia","636849cd-4276-41f9-89dd-9a86a17577be","PBRU00073186"
"1164",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1905,"Canada","British Columbia","79829600-5dd4-4dc6-bb59-a6ecb41f07f9","PBRU00073171"
"1165",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1905,"Canada","Quebec Province","b896b56e-97d1-4717-8440-7e0f41e9bc15","PBRU00073170"
"1167",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1905,"Canada","Quebec Province","dec1abed-7f23-4bf7-a14f-63d9176ed061","PBRU00073183"
"1172",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1898,"United States of America","Oregon","7b22cefb-3d9c-43a4-91a9-06b930ac2e1a","PBRU00073168"
"1186",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1880,"","","b499c423-2a33-4473-aaf5-e6f50dcac7e8","PBRU00073179"
"1191",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1880,"United States of America","Oregon","d6449191-cd44-4755-bc7f-e10e3a38a6a2","PBRU00073174"
"1192",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1880,"United States of America","Oregon","fcc99455-6110-4121-b490-8eb8f8aeaa9c","PBRU00073165"
"1199",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1879,"United States of America","Oregon","45375e5f-3d1a-472d-bf40-bbdbc270f734","PBRU00073166"
"1200",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1879,"United States of America","Oregon","6e918ff8-dd9a-4b78-9eb5-36bf4733a28f","PBRU00073164"
"1206",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1879,"United States of America","Utah","c0f26b6b-9889-434e-a7d3-62b84e2196b5","PBRU00073178"
"1219",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1878,"United States of America","Colorado","fa4675b8-714c-474f-95d6-1bdf0221670b","PBRU00073167"
"1223",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1876,"United States of America","California","0196b4d8-41f5-47a1-bd8d-fc15af928e3c","PBRU00073177"
"1227",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia scopulina",1874,"United States of America","Arizona","416b87bb-e192-4c11-9d0a-b00bbeabbd9a","PBRU00073871"
